 Anul, Valoare,Populatie,Rata valoare
1990,3645140,23211395,15.70409706
1991,3587417,23192274,15.46815547
1992,3541919,23143860,15.3039251
1993,3484512,23118745,15.07223684
1994,4053791,23093262,17.55399908
1995,4171514,23062448,18.08790637
1996,4119208,23009075,17.90253628
1997,4017771,22938405,17.51547677
1998,3930621,22885802,17.1749323
1999,3710467,22852905,16.23630344
2000,3462210,22825288,15.16830806
2001,3390135,22809546,14.86279034
2002,3279895,22779441,14.39848765
2003,5945144,22733751,26.15117936
2004,5822098,22688392,25.66113103
2005,5618490,22648514,24.8073229
2006,5477678,22614980,24.22145852
2007,5532327,22582773,24.49799677
